Genes	Samples	Mutations	Papers
PIK3CA	109259	14089	2913
PIK3CB	16663	244	199
PIK3R1	30008	752	519
PLCG1	3213	234	148
POLD1	14208	183	178
POLE	23551	900	340
POLQ	1589	34	158
POT1	2933	65	161
PPM1D	15177	211	112
PPP2R1A	19280	380	226
PPP6C	12800	61	96
PRDM1	16367	243	222
PREX2	2484	255	232
PRKACA	2517	174	117
PRKAR1A	17985	285	235
PTCH1	22121	854	437
PTEN	66369	4545	2010
PTK6	937	11	89
PTPN11	44186	894	685
PTPN13	1461	166	151
PTPRB	1301	23	152
PTPRT	15883	638	250
QKI	1886	28	105
RAC1	17427	129	167
RAD21	21448	257	186
RB1	37377	1421	900
RBM10	14544	409	162
RET	36332	1796	841
RHOA	20494	540	195
RNF43	17457	709	249
RPL10	809	25	76
RPL5	836	13	84
RUNX1	37123	1611	684
SALL4	225	1	97
SETBP1	14944	507	303
SETD2	20780	874	438
SETDB1	678	32	110
SF3B1	39111	2273	604
SH2B3	20219	192	191
SIX1	814	49	47
SIX2	807	23	53
SMAD2	19511	289	219
SMAD3	16644	222	175
SMAD4	33433	1598	754
SMARCA4	20636	1256	418
SMARCB1	25808	538	530
SMARCD1	15503	82	114
SMO	25548	490	468
SOCS1	19086	157	168
SPEN	16281	533	254
SPOP	17575	315	199
SRC	21763	247	296
SRSF2	29521	1354	352
STAG2	25700	772	310
STAT3	22328	569	263
STAT5B	15671	224	149
STK11	32589	940	681
SUFU	17601	200	212
TBL1XR1	2745	101	135
TBX3	18844	479	166
TERT	59415	602	667
TET2	37601	3477	857
TGFBR2	21982	636	324
TNFAIP3	19843	503	257
TNFRSF14	16220	167	138
TP53	129910	36651	3828
TP63	15212	291	186
TRAF7	14310	312	163
TRRAP	3009	118	209
TSC1	21092	843	434
TSC2	21067	1062	457
TSHR	17307	527	271
U2AF1	31481	909	355
UBR5	2205	111	181
USP8	1299	187	111
VHL	34065	2805	759
WT1	33594	1294	613
XPO1	17363	287	227
ZFHX3	13867	653	244
ZRSR2	20950	253	211
